id,description
8cd3676c-bfd8-4a39-b473-eea7f5ed545a,Memiliki kemampuan berpikir tingkat tinggi dan mampu mengimplementasikannya dalam kehidupan sehari-hari.
d3197070-1a11-4ee3-b592-08f0509817e7,Memiliki kemampuan sebagai pembelajar seumur hidup
1733dac7-d658-4ef4-95a9-e70e22858a58,Memiliki kemampuan untuk berkolaborasi secara efektif dalam lingkungan masyarakat akademik maupun masyarakat umum
590803d5-be56-44df-91d4-4dab84b18651,Memiliki kesadaran akan tanggung jawab sosial serta mampu menerapkan pendekatan multidisiplin dan interdisiplin dalam memecahkan berbagai masalah terkait keprofesian dan masyarakat yang luas.
